Grid,Year,Month,VariableType,Community,R2Adj,Significant,P
AG,2008,3,Host factors,Core,0.48258941,No,NA
AG,2008,3,Host factors,Non-core,0.1155559,No,NA
AG,2008,3,Host factors,Full,0.11423179,No,NA
AG,2008,4,Host factors,Core,0.13671353,No,NA
AG,2008,4,Host factors,Non-core,0.228168949,No,NA
AG,2008,4,Host factors,Full,0.227068847,No,NA
AG,2008,5,Host factors,Core,-0.01770949,No,NA
AG,2008,5,Host factors,Non-core,0.049424691,No,NA
AG,2008,5,Host factors,Full,0.049840862,No,NA
AG,2008,6,Host factors,Core,0.166645738,No,NA
AG,2008,6,Host factors,Non-core,0.078961748,No,NA
AG,2008,6,Host factors,Full,0.079729764,No,NA
AG,2008,7,Host factors,Core,0.1628977,No,NA
AG,2008,7,Host factors,Non-core,0.025041832,No,NA
AG,2008,7,Host factors,Full,0.02566897,No,NA
AG,2008,8,Host factors,Core,-0.090780104,No,NA
AG,2008,8,Host factors,Non-core,0.037733203,No,NA
AG,2008,8,Host factors,Full,0.037902574,No,NA
AG,2008,3,Spatial,Core,0.0590967059,No,NA
AG,2008,3,Spatial,Non-core,0.024393047,No,NA
AG,2008,3,Spatial,Full,0.020866093,No,NA
AG,2008,4,Spatial,Core,0.103651427,No,NA
AG,2008,4,Spatial,Non-core,-0.096243548,No,NA
AG,2008,4,Spatial,Full,-0.095174997,No,NA
AG,2008,5,Spatial,Core,0.2275778853,Yes,0.034
AG,2008,5,Spatial,Non-core,0.07693448,Yes,0.003
AG,2008,5,Spatial,Full,0.07625016,Yes,0.002
AG,2008,6,Spatial,Core,-0.0954262939,No,NA
AG,2008,6,Spatial,Non-core,0.0622412769,Yes,0.003
AG,2008,6,Spatial,Full,0.06256351,Yes,0.004
AG,2008,7,Spatial,Core,0.2155398432,Yes,0.005
AG,2008,7,Spatial,Non-core,0.05069411,Yes,0.001
AG,2008,7,Spatial,Full,0.0518851,Yes,0.001
AG,2008,8,Spatial,Core,0.116896649,Yes,0.019
AG,2008,8,Spatial,Non-core,0.1393255,No,NA
AG,2008,8,Spatial,Full,0.0144532433,No,NA
CH,2008,4,Host factors,Core,0.05625759,No,NA
CH,2008,4,Host factors,Non-core,0.058485419,No,NA
CH,2008,4,Host factors,Full,0.059245161,No,NA
CH,2008,5,Host factors,Core,0.381670958,No,NA
CH,2008,5,Host factors,Non-core,0.1469891,No,NA
CH,2008,5,Host factors,Full,0.1473388,No,NA
CH,2008,4,Spatial,Core,-0.030002133,No,NA
CH,2008,4,Spatial,Non-core,0.06617201,No,NA
CH,2008,4,Spatial,Full,0.065257002,No,NA
CH,2008,5,Spatial,Core,0.060059112,No,NA
CH,2008,5,Spatial,Non-core,0.025971421,No,NA
CH,2008,5,Spatial,Full,0.025969607,No,NA
JO,2008,5,Host factors,Core,-0.19376293,No,NA
JO,2008,5,Host factors,Non-core,0.063393279,Yes,0.041
JO,2008,5,Host factors,Full,0.062724602,Yes,0.052
JO,2008,5,Spatial,Core,0.18239018,Yes,0.034
JO,2008,5,Spatial,Non-core,0.004704879,No,NA
JO,2008,5,Spatial,Full,0.00550954,No,NA
KL,2008,3,Host factors,Core,-0.05536744,No,NA
KL,2008,3,Host factors,Non-core,0.0509979,Yes,0.019
KL,2008,3,Host factors,Full,0.05162171,Yes,0.022
KL,2008,4,Host factors,Core,0.231531735,No,NA
KL,2008,4,Host factors,Non-core,0.070427174,No,NA
KL,2008,4,Host factors,Full,0.070619005,No,NA
KL,2008,5,Host factors,Core,0.059713523,No,NA
KL,2008,5,Host factors,Non-core,0.0706620249,Yes,0.002
KL,2008,5,Host factors,Full,0.0719760048,Yes,0.002
KL,2008,6,Host factors,Core,0.35172741,No,NA
KL,2008,6,Host factors,Non-core,0.092819675,No,NA
KL,2008,6,Host factors,Full,0.092108101,No,NA
KL,2008,7,Host factors,Core,-0.170635984,No,NA
KL,2008,7,Host factors,Non-core,0.037100725,No,NA
KL,2008,7,Host factors,Full,0.037724164,No,NA
KL,2008,8,Host factors,Core,-0.007797366,No,NA
KL,2008,8,Host factors,Non-core,0.120177971,Yes,0.001
KL,2008,8,Host factors,Full,0.119548403,Yes,0.001
KL,2008,3,Spatial,Core,0.117855793,Yes,0.027
KL,2008,3,Spatial,Non-core,0.1016742086,Yes,0.003
KL,2008,3,Spatial,Full,0.1009264665,Yes,0.003
KL,2008,4,Spatial,Core,-0.407964459,No,NA
KL,2008,4,Spatial,Non-core,0.036126191,Yes,0.004
KL,2008,4,Spatial,Full,0.036040365,Yes,0.004
KL,2008,5,Spatial,Core,0.2583795516,Yes,0.001
KL,2008,5,Spatial,Non-core,0.1232309,Yes,0.001
KL,2008,5,Spatial,Full,0.124496571,Yes,0.001
KL,2008,6,Spatial,Core,0.3482111136,Yes,0.001
KL,2008,6,Spatial,Non-core,0.1269860086,Yes,0.001
KL,2008,6,Spatial,Full,0.1266607001,Yes,0.001
KL,2008,7,Spatial,Core,-0.084303504,No,NA
KL,2008,7,Spatial,Non-core,0.0499155778,Yes,0.002
KL,2008,7,Spatial,Full,0.0487020288,Yes,0.004
KL,2008,8,Spatial,Core,0.130279314,No,NA
KL,2008,8,Spatial,Non-core,0.150073914,Yes,0.002
KL,2008,8,Spatial,Full,0.150120466,Yes,0.002
KL,2009,3,Host factors,Core,0.12001261,No,NA
KL,2009,3,Host factors,Non-core,0.28040912,Yes,0.001
KL,2009,3,Host factors,Full,0.2817351,Yes,0.001
KL,2009,4,Host factors,Core,0.04167864,No,NA
KL,2009,4,Host factors,Non-core,-0.012012823,No,NA
KL,2009,4,Host factors,Full,-0.013963422,No,NA
KL,2009,5,Host factors,Core,0.6567747,No,NA
KL,2009,5,Host factors,Non-core,0.27459002,Yes,0.002
KL,2009,5,Host factors,Full,0.2744714,Yes,0.001
KL,2009,6,Host factors,Core,0.75993621,No,NA
KL,2009,6,Host factors,Non-core,0.102482777,No,NA
KL,2009,6,Host factors,Full,0.102910628,No,NA
KL,2009,7,Host factors,Core,-0.121628655,No,NA
KL,2009,7,Host factors,Non-core,0.021196203,No,NA
KL,2009,7,Host factors,Full,0.020845678,No,NA
KL,2009,8,Host factors,Core,-0.11759869,No,NA
KL,2009,8,Host factors,Non-core,0.00536953,No,NA
KL,2009,8,Host factors,Full,0.005597924,No,NA
KL,2009,3,Spatial,Core,0.02666602,No,NA
KL,2009,3,Spatial,Non-core,0.09142847,No,NA
